Yr^AccountId^Name1^DepreciationRate^Amount^Code
2004^KUBTRA51575A^KUBOTA TRACTOR L1500-51575A^0.2^5,000^ADDITION
2004^KUBTRA113398^KUBOTA TRACTOR L1501-113398^0.2^5,400^ADDITION
2004^OFFFUR^OFFICE FURNITURE^0.05^1,340^ADDITION
2004^PIGSTY^PIGSTY^0.1^144,062.99^ADDITION
2004^DUNGFILTER^PIG WASTE FILTER MACHINE^0.1^26,000^ADDITION
2004^POUHOU^POULTRY HOUSES^0.15^626,400.97^ADDITION
2004^WATSTEL^STAINLESS STEEL WATER TANK^0.1^13,000^ADDITION
2004^WATSUPEQ^WATER SUPPLY EQUIPMENT^0.1^12,586^ADDITION
2005^ELEINST^ELECTRICAL INSTALLATION^0.1^8,327^ADDITION
2005^EQU^EQUIPMENT^0.1^6,880^ADDITION
2005^FACBUI^FACTORY BUILDING^0.02^36,722.61^ADDITION
2005^FOWLCAGES^FOWL CAGES^0.15^32,609.5^ADDITION
2005^NIRTIMREC^NIDEKA TIME RECORDER^0.1^999^ADDITION
2005^OFFFUR^OFFICE FURNITURE^0.05^1,140^ADDITION
2005^PIGSTY^PIGSTY^0.1^99,330^ADDITION
2005^DUNGFILTER^PIG WASTE FILTER MACHINE^0.1^4,000^ADDITION
2005^POUHOU^POULTRY HOUSES^0.15^53,146^ADDITION
2005^FRIGE^REFRIGERATOR^0.1^1,370^ADDITION
2005^TOYOTA^TOYOTA 62-7FD30^0.2^83,060^ADDITION
2005^WATSUPEQ^WATER SUPPLY EQUIPMENT^0.1^88,876^ADDITION
2006^AIRCON8^AIR CONDITIONER NO. 8^0.1^2,950^ADDITION
2006^ELEINST^ELECTRICAL INSTALLATION^0.1^2,259^ADDITION
2006^EQU^EQUIPMENT^0.1^14,320^ADDITION
2006^FACBUI^FACTORY BUILDING^0.02^220,202.59^ADDITION
2006^FARMEQ^FARMING EQUIPMENT^0.1^8,510^ADDITION
2006^FOWLCAGES^FOWL CAGES^0.15^153,746^ADDITION
2006^NIRTIMREC^NIDEKA TIME RECORDER^0.1^588^ADDITION
2006^OFFFUR^OFFICE FURNITURE^0.05^1,308^ADDITION
2006^PIGSTY^PIGSTY^0.1^522,618.77^ADDITION
2006^POUHOU^POULTRY HOUSES^0.15^44,426^ADDITION
2006^WATSUPEQ^WATER SUPPLY EQUIPMENT^0.1^71,038.1^ADDITION
2007^AIRCON9^AIR CONDITIONER NO.9^0.1^2,450^ADDITION
2007^COMP1^COMPUTER NO. 1^0.2^2,300^ADDITION
2007^COMP2^COMPUTER NO. 2^0.2^620^ADDITION
2007^FARMEQ^FARMING EQUIPMENT^0.1^4,400.9^ADDITION
2007^ALARM^GRADING ALARM SYSTEM^0.1^5,971^ADDITION
2007^AGA7236^HINO LORRY AGA7236^0.2^102,380^ADDITION
2007^AGA7266^HINO LORRY AGA7266^0.2^102,380^ADDITION
2007^NTR9^NIDEKA TIME RECORDER EX9 7^0.1^1,630^ADDITION
2007^PIGSTY^PIGSTY^0.1^378,472.26^ADDITION
2007^POUHOU^POULTRY HOUSES^0.15^45,157.9^ADDITION
2007^SOFTWARE^SOFTWARE^0.2^5,444.6^ADDITION
2007^SWAC1^SWAM AIR COMPRESSIOR 1^0.1^2,500^ADDITION
2007^WATSUPEQ^WATER SUPPLY EQUIPMENT^0.1^2,000^ADDITION
2008^COMP2^COMPUTER NO. 2^0.2^329^ADDITION
2008^ELEINST^ELECTRICAL INSTALLATION^0.1^12,200^ADDITION
2008^FACBUI^FACTORY BUILDING^0.02^29,055.96^ADDITION
2008^FARMEQ^FARMING EQUIPMENT^0.1^4,500^ADDITION
2008^FOWLCAGES^FOWL CAGES^0.15^1,615^ADDITION
2008^HONDA-AGQ7491^HONDA AGQ7491^0.2^3,700^ADDITION
2008^HONDA-AGQ7501^HONDA AGQ7501^0.2^3,700^ADDITION
2008^OFFFUR^OFFICE FURNITURE^0.05^16,650^ADDITION
2008^PIGSTY^PIGSTY^0.1^93,093.54^ADDITION
2008^SURCAM^SURVEILLANCE SYSTEM^0.2^9,072^ADDITION
2008^WATSUPEQ^WATER SUPPLY EQUIPMENT^0.1^4,140^ADDITION
2009^FAX1^BROTHER LASER FAX 7340^0.1^809^ADDITION
2009^COMP2^COMPUTER NO. 2^0.2^1,680^ADDITION
2009^EQU^EQUIPMENT^0.1^28,100^ADDITION
2009^FACBUI^FACTORY BUILDING^0.02^86,073.8^ADDITION
2009^FARMEQ^FARMING EQUIPMENT^0.1^4,100^ADDITION
2009^FORKLIFT2MT^FORKLIFT 608FD25-30224^0.2^66,000^ADDITION
2009^FOWLCAGES^FOWL CAGES^0.15^211.5^ADDITION
2009^WTD3376^NISSAN WTD 3376^0.2^112,650^ADDITION
2009^OFFFUR^OFFICE FURNITURE^0.05^3,338^ADDITION
2009^PIGSTY^PIGSTY^0.1^53,119.49^ADDITION
2009^AGX8179^TOYOTA HILUX AGX8179^0.2^90,000^ADDITION
2009^AHA3328^TOYOTA HILUX AHA3328^0.2^94,800^ADDITION
2009^WATPUM^WATER PUMP^0.1^5,060^ADDITION
2009^WATSUPEQ^WATER SUPPLY EQUIPMENT^0.1^2,746.5^ADDITION
2010^ELEINST^ELECTRICAL INSTALLATION^0.1^8,380^ADDITION
2010^FACBUI^FACTORY BUILDING^0.02^936,477.73^ADDITION
2010^FARMEQ^FARMING EQUIPMENT^0.1^39,383^ADDITION
2010^LORRYAHD6676^HINO LORRY AHD6676^0.2^161,550^ADDITION
2010^INFRA^INFRASTRUCTURE (FENCES)^0.1^79,833.05^ADDITION
2010^KUBOTAL1801^KUBOTA L1801 2851-08894^0.2^9,000^ADDITION
2010^LORRYWUR6676^NISSAN LORRY WUR6676^0.2^247,843.2^ADDITION
2010^PIGSTY^PIGSTY^0.1^42,039.35^ADDITION
2010^AHE6328^TOYOTA FORTUNER AHE6328^0.2^176,900^ADDITION
2010^WATPUM^WATER PUMP^0.1^700^ADDITION
2010^WATSUPEQ^WATER SUPPLY EQUIPMENT^0.1^14,495^ADDITION
2011^ELEINST^ELECTRICAL INSTALLATION^0.1^68,877^ADDITION
2011^FACBUI^FACTORY BUILDING^0.02^315,707^ADDITION
2011^FOWLCAGES^FOWL CAGES^0.15^319,184.6^ADDITION
2011^GSEFEED^GOLDEN STAR FEEDMILL MACHINE^0.1^1,051,326^ADDITION
2011^PIGSTY^PIGSTY^0.1^12,337.8^ADDITION
2011^POUHOU^POULTRY HOUSES^0.15^1,951,904.54^ADDITION
2011^WATSUPEQ^WATER SUPPLY EQUIPMENT^0.1^2,400^ADDITION
2012^COMP2^COMPUTER NO. 2^0.2^879^ADDITION
2012^ELEINST^ELECTRICAL INSTALLATION^0.1^26,214^ADDITION
2012^FACBUI^FACTORY BUILDING^0.02^219,103^ADDITION
2012^FARMEQ^FARMING EQUIPMENT^0.1^107,109.76^ADDITION
2012^FOWLCAGES^FOWL CAGES^0.15^126,334^ADDITION
2012^GSEFEED^GOLDEN STAR FEEDMILL MACHINE^0.1^313,510^ADDITION
2012^HONDA-AHV9840^HONDA AHV9840^0.2^3,950^ADDITION
2012^KUBOTAL1801DT^KUBOTA L1801DT-2010 Z751-15728^0.2^9,400^ADDITION
2012^LORRYWUR6676^NISSAN LORRY WUR6676^0.2^1,179.05^ADDITION
2012^PIGSTY^PIGSTY^0.1^19,056.7^ADDITION
2012^POUHOU^POULTRY HOUSES^0.15^1,490,405.96^ADDITION
2012^AHA3328^TOYOTA HILUX AHA3328^0.2^1,520^ADDITION
2013^POUHOU^POULTRY HOUSES^0.15^123,706.87^ADDITION
